,Task,Core,Start,End,Rank
707,370,4,699782.1236818001,704385.9016375,16170.965673300001
708,361,4,704385.9016375,707319.0373827,11567.187717600002
709,1292,4,707549.2177224003,709314.3401865003,496202.1168929
710,362,4,712821.2967279003,715083.4790907003,8634.0519724
711,363,4,715083.4790907003,716582.6886425003,6371.8696096
712,364,4,716582.6886425003,717388.8886122003,4872.6600578
713,734,4,718387.8068676004,721973.1835003004,118603.99401300002
714,736,4,730921.8257030004,738882.2180949004,108382.952671
715,1421,4,739321.1272471002,741321.7153123002,105615.18231869998
716,1051,4,741447.5094073003,749270.1224582003,539656.5798198
717,242,4,749270.1224582003,754580.4993895004,536785.8848744
718,1423,4,751516.2048736003,753586.5364647002,97224.63825659998
719,1029,4,755430.9024542003,759073.3532433003,89413.55434320001
720,1042,4,759073.3532433003,764538.8387601003,85771.10355410002
721,1035,4,764538.8387601003,769047.0997510003,80305.61803730001
722,275,4,769047.0997510003,775912.2607362003,519418.8136266
723,276,4,775912.2607362003,780812.0090478002,512553.6526414
724,1040,4,777052.4723144002,780896.2654999002,68987.24737350001
725,1434,4,780896.2654999002,784096.8647352002,73616.5630544
726,243,4,784096.8647352002,791240.6259689002,507653.9043298
727,244,4,791240.6259689002,796460.4206099001,500510.1430961
728,1046,4,793496.6241557002,795546.4968634002,58643.7490044
729,1064,4,795546.4968634002,801582.3897059002,487859.4104472
730,1065,4,801582.3897059002,801703.2526370002,481823.5176047
731,1050,4,798187.4244165003,800554.6469574003,56593.8762967
732,1429,4,800851.7023057004,803492.6298588004,57189.7497188
733,1333,4,810070.1228537003,815975.0426270002,49191.3592162
734,986,4,815975.0426270002,822914.6304603002,43805.0070575
735,1342,4,833190.8465862004,840669.4468905004,27948.2931285
736,979,4,842410.8530768004,848738.2560945003,19447.6205568
737,1157,4,851858.7994841003,856166.7670826003,11021.746416900001
738,1158,4,856166.7670826003,859547.0079433003,6713.7788184
739,1171,4,859547.0079433003,862880.5459010003,3333.5379577
740,637,4,1105209.8714399005,1105721.3367000006,82119.81639629998
741,638,4,1105721.3367000006,1108480.7760841006,81608.35113619998
742,639,4,1108480.7760841006,1115588.7219843005,78848.91175209999
743,632,4,1115588.7219843005,1118607.1490503005,71740.9658519
744,633,4,1118607.1490503005,1118936.4479980005,68722.53878589999
745,634,4,1118936.4479980005,1121857.7488465006,68393.2398382
746,635,4,1121857.7488465006,1128775.2710558006,65471.93898969999
747,640,4,1128775.2710558006,1135554.0869189007,58554.416780399995
748,641,4,1135554.0869189007,1140498.2947382007,51775.6009173
749,642,4,1140498.2947382007,1142381.4373833006,46831.393098
750,669,4,1149091.5075581006,1152135.1881247007,38238.1802781
751,670,4,1152135.1881247007,1152547.5029346007,35194.4997115
752,674,4,1152547.5029346007,1155173.7269771006,34782.1849016
753,677,4,1164930.5535164007,1169318.0498621007,22399.134319800003
754,678,4,1169318.0498621007,1176225.5850835007,18011.637974100002
755,679,4,1176225.5850835007,1176570.8020754007,11104.1027527
756,671,4,1176570.8020754007,1182996.4406236007,10758.8857608
757,672,4,1182996.4406236007,1186677.7649962008,4333.2472126
758,673,4,1186677.7649962008,1187329.6878362007,651.92284
759,1241,4,1272011.8819570993,1276083.8797294993,143651.1555401
760,1244,4,1294933.4677939995,1295710.5403976995,120729.5697032
761,1246,4,1295710.5403976995,1299769.3617998995,119952.4970995
762,1261,4,1302723.6505458995,1303746.4519149996,115893.6756973
763,1262,4,1303746.4519149996,1307331.3014004997,114870.8743282
764,592,4,1326076.3498514993,1331636.4387667994,61276.5626496
765,1151,4,1331636.4387667994,1337202.0648923994,88128.4312838
766,593,4,1335189.0892774994,1338309.1806124994,55716.473734299994
767,1152,4,1338309.1806124994,1344439.5076699993,82562.8051582
768,1155,4,1359111.4995358996,1365029.7316589996,67684.4286271
769,617,4,1365029.7316589996,1371527.5145718995,40794.5553256
770,619,4,1374903.4289652994,1375798.7662633995,32390.4510237
771,610,4,1383345.8708428994,1387745.9486567995,25451.1384587
772,1351,4,1387745.9486567995,1388933.9914691995,39192.33526640001
773,1356,4,1389847.9815950994,1394256.6110434995,37090.302328100006
774,1357,4,1394256.6110434995,1396168.9293493996,32681.672879700003
775,600,4,1396168.9293493996,1403498.0550314996,7329.1256821
776,615,4,1403811.5379630995,1408797.0093015996,4985.4713385
777,1486,5,4282.3149335,7587.056301299999,10763.5306389
778,1490,5,6968.1045534,7799.321812800001,9364.5782827
779,1514,5,7813.518659900001,10643.3731123,17184.2091538
780,1502,5,10643.3731123,16908.1310179,14801.485648900001
781,1496,5,16908.1310179,18481.9506844,6790.922079
782,1501,5,18481.9506844,24630.1213283,14684.898387199999
783,1495,5,23036.338972499998,29350.518756999998,11531.282197
784,1531,5,29350.518756999998,32467.145719599997,10445.7526447
785,568,5,396614.9146122999,398352.72129909985,25153.658610899998
786,569,5,398352.72129909985,398921.76734179986,23415.8519241
787,562,5,398921.76734179986,406773.7545557999,22846.8058814
788,477,5,410743.3886662999,413999.2489200999,810661.9850312998
789,478,5,417248.74115409993,418716.6355550999,807406.1247774997
790,479,5,418716.6355550999,421954.1407129999,805938.2303764997
791,1440,5,421954.1407129999,428373.9951705999,794083.7792742002
792,943,5,423328.5622600999,427041.5679385999,54537.8210434
793,1441,5,428373.9951705999,435666.9440328999,787663.9248166002
794,1027,5,432002.0872126999,435693.83169789985,598847.7785695002
795,484,5,447418.7296510999,451565.62791029987,782568.3496563998
796,1449,5,451565.62791029987,457173.58500909986,770873.4258596002
797,1443,5,457173.58500909986,458246.37604459986,765265.4687608002
798,1013,5,458346.25124809996,459792.95353829995,47202.5543182
799,278,5,464259.6032422999,471798.2550335999,769521.3932045999
800,813,5,471798.2550335999,478034.96232789994,753729.9297212001
801,286,5,478034.96232789994,478931.96755019994,757337.6476306998
802,1016,5,481088.59991069994,488427.27101629996,25319.6867633
803,1017,5,488427.27101629996,493555.4900604,17981.0156577
804,1381,5,493555.4900604,495016.5839577,35345.0481089
805,821,5,495016.5839577,497504.7731687,735112.1682722002
806,822,5,497504.7731687,501874.3312565,732623.9790612002
807,281,5,501874.3312565,508179.8801202,737460.1022951999
808,282,5,508179.8801202,509824.9761937,731154.5534314999
809,817,5,502292.5475904,503986.97350599995,728254.4209734001
810,818,5,505410.2357871,507975.0344671,726559.9950578001
811,352,5,507975.0344671,514039.7895808,540830.5624950001
812,809,5,514039.7895808,519683.29947729997,611947.6027830001
813,810,5,519683.29947729997,520974.0790939,606304.0928865001
814,907,5,520974.0790939,528176.2350912,533423.6364456001
815,423,5,525637.9347080999,530667.7645260999,54425.636575
816,1273,5,530667.7645260999,535379.0067648999,708976.5882913001
817,805,5,535379.0067648999,542667.7374423,591771.8338705001
818,412,5,540086.2199114,544574.8418333,149350.86186479992
819,1289,5,544574.8418333,549282.0549798,696415.2749336001
820,908,5,547663.1172529999,550532.5979678999,512924.9837242
821,807,5,550532.5979678999,553591.4224836999,578019.7806274
822,1469,5,553627.6552209998,553993.7233602998,574960.9561116
823,436,5,558533.9057581999,563311.1740466999,32659.7872329
824,388,5,563470.6031431,569126.8145187,42972.175661999994
825,395,5,569126.8145187,572308.3897576,37315.9642864
826,442,5,572308.3897576,576617.0935683,678918.3578255998
827,1296,5,573102.8365243,576804.8923815,670568.2973479999
828,443,5,576804.8923815,582172.0101323,674609.6540148999
829,1297,5,578010.6460902999,581154.9651866,666866.2414907999
830,904,5,582543.0207918,586856.097471,486015.7313528
831,248,5,587244.3002954999,588069.6415300999,112114.80732669997
832,249,5,588069.6415300999,594952.2085895999,111289.46609209997
833,1223,5,595334.0957796,598879.7714540999,649542.7918014999
834,450,5,598879.7714540999,601714.4719496999,656326.6466346999
835,1462,5,602635.1103645999,603911.4735152998,26375.480101999994
836,1464,5,607083.3815451,613311.5417692,22266.260753199997
837,1456,5,613311.5417692,614862.9534077,16038.100529099998
838,1457,5,614862.9534077,622715.8709193,14486.688890599999
839,393,5,620434.0678056999,625518.0897563999,5558.697882
840,1161,5,625654.9676583001,629565.8965631,26682.6974324
841,1340,5,640762.3759862,648222.1410328,31310.915583099995
842,1238,5,648222.1410328,651190.1353851999,609467.3089266999
843,1341,5,649139.7716866999,652101.0405288,23851.150536499998
844,1267,5,652101.0405288,653600.6479499,37304.3955651
845,836,5,655239.281588,656981.4373631,35804.788144
846,837,5,656981.4373631,657879.4116981,34062.6323689
847,462,5,657879.4116981,659805.9031730001,614098.7845199001
848,463,5,659805.9031730001,665248.3710126001,612172.293045
849,838,5,663699.2603231001,665950.3424965001,33164.6580339
850,1288,5,666314.3508246999,670836.9760638998,528124.049783
851,759,5,670836.9760638998,671532.8377806998,589416.6367067
852,1349,5,671789.3085288003,679480.4278100003,28199.2992522
853,1350,5,679480.4278100003,685430.0397915003,20508.179970999998
854,1355,5,685430.0397915003,690988.6157976004,14558.5679895
855,321,5,691220.4046779001,692724.8821205001,4500.4556579
856,322,5,692724.8821205001,695720.8603358001,2995.9782153
857,771,5,695720.8603358001,698787.0990626,572216.4121242999
858,365,5,717388.8886122003,721455.3487003003,4066.4600881
859,786,5,735334.0328141003,740555.4055744002,38989.482123
860,1055,5,754350.3840194003,761580.9184518004,526753.7052076999
861,1056,5,761580.9184518004,763196.3918288003,519523.17077529995
862,1037,5,769047.0997510003,775857.2094239003,75797.35704640001
863,1362,5,1415743.3221467996,1423608.7142436996,11844.3648321
864,1363,5,1423608.7142436996,1427587.6869788996,3978.9727352
865,1530,6,3838.0837369,8615.469768300001,22796.1463143
866,1534,6,8615.469768300001,16188.477406500002,18018.7602829
867,1512,6,16188.477406500002,23213.706425800003,14354.3547014
868,1511,6,17426.6070838,24398.7033583,14099.2402894
869,1508,6,18664.7367611,25229.5270199,13691.9342737
870,1498,6,24630.1213283,29187.8763364,8536.7277433
871,1489,6,29187.8763364,33742.2646245,8533.3610233
872,528,6,338183.75389769993,342145.08336089994,133706.2257036
873,545,6,342145.08336089994,345901.6568511999,1074531.9341938
874,546,6,345901.6568511999,352736.52682289993,1070775.3607035
875,532,6,353037.83291789994,356568.76434689993,118852.1466834
876,548,6,356568.76434689993,361410.2442878999,1061898.2961341
877,552,6,361410.2442878999,363684.9044976999,1057056.8161931
878,553,6,363684.9044976999,369915.92929199996,1054782.1559833002
879,539,6,364111.4292108999,367060.5842606999,109311.312515
880,554,6,369915.92929199996,375578.77377499995,1048551.1311890001
881,558,6,376026.4413521999,377097.7138496999,45742.131871000005
882,555,6,377097.7138496999,381580.3210169999,1042888.2867060001
883,556,6,381580.3210169999,385480.1279267999,1038405.6795387001
884,536,6,385940.79401699983,390588.63535399985,87801.3147652
885,561,6,390988.39524329983,392918.64915289986,30780.1779799
886,538,6,393773.3113129998,397593.1178473998,80368.5573585
887,935,6,397593.1178473998,402555.7715393998,76548.75082409999
888,936,6,402555.7715393998,405202.3135920998,71586.0971321
889,1438,6,410743.3886662999,414284.67007269996,799822.0320872002
890,1439,6,414284.67007269996,416481.6414792999,796280.7506808002
891,1023,6,416481.6414792999,417319.3693688999,607638.2222924002
892,1024,6,417319.3693688999,425272.08520219993,606800.4944028002
893,944,6,427041.5679385999,432519.7871265999,50824.8153649
